artistname,decade
Massive_Attack,1980
Massive_Attack,1990
Massive_Attack,2e3
Massive_Attack,2010
Robert_Miles,1990
Robert_Miles,2e3
Robert_Miles,2010
Squirrel_Nut_Zippers,1990
Squirrel_Nut_Zippers,2e3
Bob_Dylan,1960
Bob_Dylan,1970
Bob_Dylan,1980
Bob_Dylan,1990
Bob_Dylan,2e3
Bob_Dylan,2010
10cc,1970
10cc,1980
10cc,1990
10cc,2e3
10cc,2010
Art_of_Noise,1980
Art_of_Noise,1990
Art_of_Noise,2e3
Art_of_Noise,2010
Tom_Waits,1970
Tom_Waits,1980
Tom_Waits,1990
Tom_Waits,2e3
Tom_Waits,2010
Stevie_Wonder,1960
Stevie_Wonder,1970
Stevie_Wonder,1980
Stevie_Wonder,1990
Stevie_Wonder,2e3
Stevie_Wonder,2010
The_Stone_Roses,1980
The_Stone_Roses,1990
The_Stone_Roses,2e3
The_Stone_Roses,2010
Yo_La_Tengo,1980
Yo_La_Tengo,1990
Yo_La_Tengo,2e3
Yo_La_Tengo,2010
Rammstein,1990
Rammstein,2e3
Rammstein,2010
Cat_Power,1990
Cat_Power,2e3
Cat_Power,2010
The_Dismemberment_Plan,1990
The_Dismemberment_Plan,2e3
The_Dismemberment_Plan,2010
Alanis_Morissette,1980
Alanis_Morissette,1990
Alanis_Morissette,2e3
Alanis_Morissette,2010
Ani_DiFranco,1980
Ani_DiFranco,1990
Ani_DiFranco,2e3
Ani_DiFranco,2010
Beck,1980
Beck,1990
Beck,2e3
Beck,2010
Beth_Orton,1990
Beth_Orton,2e3
Beth_Orton,2010
Built_to_Spill,1990
Built_to_Spill,2e3
Built_to_Spill,2010
Elliott_Smith,1990
Elliott_Smith,2e3
Elliott_Smith,2010
Le_Tigre,1990
Le_Tigre,2e3
Tori_Amos,1990
Tori_Amos,2e3
Tori_Amos,2010
Modest_Mouse,1990
Modest_Mouse,2e3
Modest_Mouse,2010
Radiohead,1990
Radiohead,2e3
Radiohead,2010
Harold_Faltermeyer,1980
Harold_Faltermeyer,1990
Harold_Faltermeyer,2e3
Harold_Faltermeyer,2010
Phish,1980
Phish,1990
Phish,2e3
Phish,2010
Cypress_Hill,1990
Cypress_Hill,2e3
Cypress_Hill,2010
Enya,1980
Enya,1990
Enya,2e3
Enya,2010
Yanni,1980
Yanni,1990
Yanni,2e3
Yanni,2010
Metallica,1980
Metallica,1990
Metallica,2e3
Metallica,2010
John_Williams,1960
John_Williams,1970
John_Williams,1980
John_Williams,1990
John_Williams,2e3
John_Williams,2010
The_Bangles,1980
The_Bangles,1990
The_Bangles,2e3
The_Bangles,2010
Bing_Crosby,1930
Bing_Crosby,1940
Bing_Crosby,1950
Bing_Crosby,1960
Bing_Crosby,1970
Bing_Crosby,1980
Bing_Crosby,1990
Bing_Crosby,2e3
Bing_Crosby,2010
Frank_Sinatra,1930
Frank_Sinatra,1940
Frank_Sinatra,1950
Frank_Sinatra,1960
Frank_Sinatra,1970
Frank_Sinatra,1980
Frank_Sinatra,1990
Frank_Sinatra,2e3
Frank_Sinatra,2010
George_Winston,1970
George_Winston,1980
George_Winston,1990
George_Winston,2e3
George_Winston,2010
The_Chieftains,1960
The_Chieftains,1970
The_Chieftains,1980
The_Chieftains,1990
The_Chieftains,2e3
The_Chieftains,2010
New_Edition,1980
New_Edition,1990
New_Edition,2e3
New_Edition,2010
Cliff_Richard,1950
Cliff_Richard,1960
Cliff_Richard,1970
Cliff_Richard,1980
Cliff_Richard,1990
Cliff_Richard,2e3
Cliff_Richard,2010
Dan_Fogelberg,1970
Dan_Fogelberg,1980
Dan_Fogelberg,1990
Dan_Fogelberg,2e3
James_Taylor,1960
James_Taylor,1970
James_Taylor,1980
James_Taylor,1990
James_Taylor,2e3
James_Taylor,2010
Simon_&_Garfunkel,1960
Simon_&_Garfunkel,1970
Simon_&_Garfunkel,1980
Simon_&_Garfunkel,1990
Simon_&_Garfunkel,2e3
Simon_&_Garfunkel,2010
The_Temptations,1960
The_Temptations,1970
The_Temptations,1980
The_Temptations,1990
The_Temptations,2e3
The_Temptations,2010
Annie_Lennox,1990
Annie_Lennox,2e3
Annie_Lennox,2010
Billy_Joel,1970
Billy_Joel,1980
Billy_Joel,1990
