user	scenario
29970410	6
6502736	6
4787424	7
30633218	7
5320098	2
19794221	2
5637731	0
48479495	2
16508166	6
7748805	4
46925367	6
27457147	6
47182677	6
39428062	2
49591778	0
28447182	0
16370959	0
47391657	3
3478587	2
6747065	6
41723933	6
11998404	0
2949370	4
2873889	4
23638150	6
15677557	0
15020189	4
4938859	7
14520887	6
39898792	6
40563365	6
3304912	4
49396730	2
4526305	6
23265125	4
24856261	0
3423731	6
20131065	4
23238082	6
45307368	4
29416682	6
23853724	4
45845722	2
42554670	2
24181301	2
13725104	2
40787146	6
33986489	7
5485650	6
3973347	0
41336915	2
11600787	2
39167800	2
10807443	0
35364845	2
23439531	2
2948640	2
18566688	2
3002379	0
6452020	2
9321010	4
49358414	6
47925288	0
14525857	2
16225683	2
49857491	2
7416673	6
6937126	6
9653222	6
8270884	6
19114015	2
3860200	2
42964489	0
4780586	6
48542096	4
29029044	0
10326405	6
22642943	4
42684158	6
7618980	6
9277425	7
4848122	6
30923623	6
10424950	0
38083405	4
7105867	6
48816258	0
13608390	6
26457274	0
4397563	6
14932889	2
38354363	0
5408101	2
45431516	4
10228161	2
4738898	2
47509546	0
34776460	6
7781890	7
32309103	4
26506597	4
14462062	2
25614632	2
49624402	2
11924005	6
3239973	4
2917828	0
33957191	6
5613455	6
14063067	7
32607864	0
18767420	6
48303691	0
33813069	0
28053650	6
6992675	6
10637132	2
11025336	2
47244000	0
47126893	4
5781009	2
20977821	2
49980381	0
49501702	4
45590928	6
46664723	2
48631154	6
19911778	0
28068339	2
49828903	2
39991179	0
7379290	7
11867705	2
46092690	0
47845561	0
45920397	2
34165041	4
48806678	2
23340294	4
48504620	0
13501473	0
48941778	0
4286071	6
48025999	6
48519560	4
47815490	0
11669844	4
49219210	0
48365873	6
42378133	2
3768204	2
49015748	0
29471745	4
4378506	4
7540459	6
14946162	0
6462275	0
8776227	6
48880616	2
48588582	4
33660696	0
4058623	6
10931569	6
45936206	4
5420878	0
7752871	7
8983926	2
3603292	6
49276956	2
41457771	4
23516230	0
48515616	4
21500775	0
39898200	4
7213842	0
48720167	4
47226139	4
48580921	2
38486635	4
46780449	4
27774412	6
39740418	0
12252169	3
36600688	0
10413419	2
6110270	6
8282774	0
48959267	4
18796034	2
9454105	4
3631969	7
18214535	0
41626391	0
16355650	0
46132114	0
45126083	2
28653390	0
47112697	2
49088314	4
48103373	0
48511047	6
48399790	4
2790162	0
49787338	6
13821923	7
11539131	2
13828470	3
23790594	2
46725347	2
1029562	4
33677353	7
3479805	6
17149350	4
5460898	2
35350639	4
12111678	0
12074462	7
9321799	6
3680223	7
8316275	4
32966925	2
33470762	7
25127732	7
12093207	0
2236709	6
14770371	3
7892073	2
8686821	6
21910487	6
4228395	7
37391811	0
7687	0
19192269	7
37695344	4
46720654	0
2318327	2
37289916	6
6964986	4
2271782	6
48006186	6
31682076	2
25611958	2
32454899	0
5725577	4
25370966	2
48830425	4
48990987	0
47529521	0
35307682	0
22029337	0
42909884	0
42186852	6
7829682	7
48948033	7
6390606	4
40997171	6
13071848	4
33657112	0
12411299	2
48825670	0
40417061	0
18130464	2
49028028	0
49807596	2
5277976	0
21634010	6
26514448	6
5751246	6
47590878	6
35989386	6
36057148	2
37172442	2
40247811	7
4447744	6
37162514	6
12320559	2
7439731	0
17599925	2
45336987	6
42949765	4
49319269	0
2764146	2
13759477	2
33176007	6
27801648	4
2883653	6
2230712	2
34805456	4
8328522	0
48602793	0
47169578	6
46939025	6
47104736	0
46179134	4
47800935	0
10428603	4
47429995	4
16711157	0
9952240	2
48555415	4
23971399	7
14709757	7
12880910	4
30311628	4
36582930	4
17716010	6
7964353	4
47488149	0
25365494	4
7937229	2
19736802	0
2399681	2
11934466	4
45389356	6
23981055	0
34880581	0
6261389	6
33776114	6
31148550	6
13916668	4
36146731	4
7320444	2
32675686	0
7299766	6
6997702	2
40987283	4
4485208	7
6611089	4
23144098	0
9882947	2
48184433	6
13877989	6
48745035	2
5517685	6
40626636	0
6917264	0
48876417	4
7778221	6
48046529	0
4331750	0
18399210	2
24057306	2
18329710	4
8756805	6
21521666	4
6946347	2
48466394	0
17588765	0
49406542	2
24606423	6
38029535	2
39436163	6
36737979	6
16442235	2
11541773	4
46568235	4
48217336	7
46984554	7
9341753	2
6325471	6
42539820	0
42931945	4
11282853	6
32957555	4
5910721	7
5265341	2
9145886	4
16264779	0
47848657	0
17094267	6
29692019	4
49545122	4
30714659	2
45187588	0
32239198	0
7163356	4
2423062	0
17991009	0
34983965	4
49096018	4
25095074	2
10374121	6
40691758	2
2445992	2
47885195	0
9911751	0
20407148	0
26878692	0
32953555	6
36539902	2
40505305	0
27284279	2
37579630	0
46776624	2
49119378	2
27774791	2
48815239	4
49293829	6
32174726	2
48456562	0
25194836	6
46586657	2
9868379	0
10326323	0
2168899	6
47790810	2
48911286	2
8035279	6
49460966	2
5354281	7
5897962	6
32000065	2
41557691	2
16486655	2
11321465	6
3475627	0
7014063	0
9027470	4
35129446	0
26598360	0
9695459	2
3868845	0
47343082	6
2707938	0
12156381	6
46935506	4
13718027	2
25396880	0
10462198	4
19239335	7
40364447	4
10402426	6
48322451	4
15699379	6
5432528	6
30410303	6
10645616	2
45325773	4
49406989	4
19380895	2
49082241	4
19341372	6
47447669	0
22368061	0
33518498	4
3883834	0
11183275	6
19386186	3
47381759	0
49355756	6
33434441	6
6546055	4
33404554	2
31678226	2
3426736	2
46896383	4
31787079	2
5923588	2
7984395	6
47883591	0
9889487	0
38842603	0
27845116	0
9979755	0
34470266	2
20053399	0
12121879	4
47240394	6
6731541	4
47369384	7
49765902	2
47275981	0
7210939	2
41251962	7
14419918	2
48232727	3
11918471	0
4887880	0
34724888	0
45240683	4
48619458	0
37724774	4
21185923	2
47182129	2
19869587	4
48536910	0
29458478	4
49114779	4
45134764	4
31250408	2
21075698	6
42283280	2
24937311	0
3996495	0
23571541	0
35936408	4
33411141	0
39311634	7
47977374	0
30300851	2
32966527	2
15393363	0
30142869	2
40318068	4
45932649	4
4979489	2
2291567	2
25085963	2
38354399	6
49940652	4
37106065	2
5166712	0
49436498	0
