userid	contemporaneity	locality	genre
7687	0	0	0
1029562	1	1	0
2168899	1	1	0
2230712	1	1	0
2236709	1	1	0
2271782	1	1	1
2291567	1	1	0
2318327	1	1	0
2399681	1	1	0
2423062	1	1	1
2445992	1	1	0
2465033	1	1	1
2469058	1	1	0
2509909	1	1	0
2549627	1	1	1
2559184	1	1	0
2560844	1	1	0
2615703	1	1	1
2707938	1	1	0
2764146	1	1	0
2790162	1	1	0
2873889	1	1	0
2883653	1	1	1
2906604	0	0	1
2914781	1	1	0
2917828	1	1	0
2948640	1	1	0
2949370	1	1	1
3002379	1	1	1
3116219	1	1	0
3239973	0	0	0
3304912	0	1	1
3423731	1	1	0
3426736	1	1	0
3475627	1	1	0
3478587	1	1	0
3479805	1	1	1
3496153	1	1	0
3496867	1	0	0
3603292	1	1	1
3631969	1	1	0
3680223	1	1	0
3768204	1	1	0
3860200	1	1	1
3868845	1	1	0
3883834	0	0	0
3973347	1	1	0
3996495	1	1	1
4044188	1	1	0
4058623	1	1	1
4228395	1	1	0
4286071	1	1	0
4331750	1	1	1
4378506	1	1	0
4397563	1	1	1
4438599	1	1	0
4447744	1	1	1
4485208	1	1	1
4526305	1	1	1
4737341	1	1	0
4738898	1	1	1
4780586	1	1	1
4787424	1	1	1
4806529	1	1	0
4811209	1	1	1
4848122	1	1	1
4887880	1	1	0
4938859	1	1	0
4979489	1	1	1
5077328	1	1	0
5097178	1	1	0
5103378	1	1	1
5105750	1	0	0
5142790	1	1	0
5166712	1	1	0
5258833	0	0	0
5265341	1	1	1
5277976	0	0	1
5320098	1	1	1
5354281	1	1	0
5408101	1	1	1
5420878	1	0	0
5432528	1	1	0
5460898	1	1	0
5485650	1	1	0
5516497	0	0	1
5517685	1	1	1
5534206	1	1	0
5613455	1	1	0
5637731	1	1	0
5725577	1	1	1
5751246	1	1	0
5781009	1	1	0
5839868	1	1	0
5856926	1	1	1
5897962	1	1	0
5899319	1	1	0
5910721	1	1	1
5923588	1	1	1
5963805	0	0	1
6050492	1	1	0
6110270	1	1	1
6261389	1	0	1
6304123	1	1	0
6325471	1	1	0
6390606	1	1	1
6446517	1	1	0
6452020	1	1	0
6462275	1	1	1
6502736	1	1	1
6546055	1	1	1
6606354	0	0	1
6611089	1	1	1
6638266	1	1	0
6731541	1	0	1
6747065	1	1	1
6917264	0	0	0
6937126	1	1	1
6946347	1	1	1
6964986	1	1	1
6992675	1	1	0
