users	contemporaneity	locality	genre
7687	0	1	1
1029562	1	1	1
2168899	1	1	1
2230712	1	1	1
2236709	1	1	1
2271782	0	1	1
2291567	1	1	1
2318327	1	1	1
2399681	0	1	1
2423062	0	1	1
2445992	1	1	1
2465033	1	1	1
2469058	1	1	1
2509909	0	1	0
2549627	0	1	0
2559184	0	0	0
2560844	0	1	1
2615703	0	1	1
2707938	1	1	1
2764146	1	1	1
2790162	0	1	1
2873889	1	1	1
2883653	0	1	1
2906604	1	0	1
2914781	0	0	0
2917828	0	1	1
2948640	0	0	0
2949370	1	1	1
3002379	1	1	1
3116219	1	1	1
3239973	1	1	1
3304912	1	1	1
3423731	1	1	1
3426736	0	1	0
3475627	0	1	1
3478587	1	1	0
3479805	0	1	1
3496153	1	1	1
3496867	0	1	1
3603292	0	1	1
3631969	0	1	1
3680223	0	1	1
3768204	0	1	1
3860200	1	1	0
3868845	1	1	1
3883834	0	1	1
3973347	0	1	1
3996495	1	1	1
4044188	1	1	1
4058623	0	1	1
4228395	0	1	1
4286071	0	1	0
4331750	0	1	0
4378506	0	1	1
4397563	0	1	0
4438599	0	0	0
4447744	0	1	0
4485208	1	1	1
4526305	1	1	0
4737341	1	1	1
4738898	0	1	0
4780586	0	1	0
4787424	1	1	1
4806529	1	1	1
4811209	0	1	0
4848122	1	1	0
4887880	0	1	1
4938859	1	1	1
4979489	1	0	0
5077328	1	1	1
5097178	0	1	1
5103378	1	1	1
5105750	0	1	0
5142790	1	1	0
5166712	0	1	0
5258833	1	1	1
5265341	0	1	1
5277976	0	1	1
5320098	1	1	0
5354281	0	1	1
5408101	1	1	1
5420878	0	1	0
5432528	0	1	1
5460898	0	1	1
5485650	0	1	1
5516497	0	1	1
5517685	1	1	1
5534206	1	1	0
5613455	0	1	1
5637731	0	0	0
5725577	0	1	0
5751246	0	1	1
5781009	0	1	0
5839868	0	1	1
5856926	1	1	1
5897962	1	1	1
5899319	1	1	1
5910721	0	1	1
5923588	0	1	0
5963805	0	0	0
6050492	1	1	0
6110270	0	1	0
6261389	1	1	1
6304123	0	1	0
6325471	1	1	1
6390606	1	1	1
6446517	0	1	1
6452020	0	1	0
6462275	0	0	0
6502736	1	1	1
6546055	1	1	1
6606354	1	1	1
6611089	0	1	0
6638266	0	0	0
6731541	0	1	0
6747065	0	0	0
6917264	0	1	1
6937126	0	1	0
6946347	0	1	1
6964986	0	1	0
6992675	1	1	1
6997702	0	0	0
7014063	0	1	1
7105867	0	1	1
7163356	0	1	1
7210939	1	1	1
7213842	0	1	1
7277276	1	1	1
7299766	1	1	1
7310641	0	1	1
7320444	0	1	0
7379290	0	1	0
7416673	1	1	0
7423336	1	1	1
7439731	0	1	0
7540459	0	1	0
7618980	1	1	0
7720943	1	1	1
7748805	0	1	1
7752871	0	1	1
7763519	0	1	1
7778221	0	1	1
7781890	1	1	1
7829682	0	1	0
7892073	0	1	1
7937229	1	1	1
7964353	1	1	1
7984395	0	1	1
8013433	1	1	1
8035279	1	1	1
8270884	0	1	1
8282774	1	0	0
8316275	0	1	0
8328522	1	1	1
8474083	0	0	0
8606703	1	0	0
8681298	0	0	0
8686821	0	1	1
8718324	1	1	1
8756805	0	1	1
8776227	0	1	0
8983926	0	1	0
9003804	0	0	0
9027470	1	1	1
9035014	1	1	1
9076404	0	1	1
9145886	1	1	1
9194537	1	1	1
9277425	0	1	1
9321010	1	1	1
9321799	0	1	0
9341753	1	1	1
9353376	1	0	0
9454105	0	0	1
9457434	1	1	1
9653129	0	0	0
9653222	0	1	1
9695459	0	1	1
9726776	1	1	0
9868379	1	1	1
9882947	0	1	0
9889487	0	1	1
9911751	0	1	1
9952240	0	1	1
9979755	1	1	1
10084175	1	1	1
10173627	1	1	1
10228161	0	1	1
10326323	1	1	1
10326405	1	1	1
10374121	1	0	0
10402426	0	1	0
10411433	0	1	1
10413419	1	1	1
10424950	0	1	1
10428603	0	1	1
10462198	0	1	0
10637132	0	1	0
10645616	0	1	1
10807443	0	1	0
10923419	0	1	0
10931569	0	1	1
10964154	0	1	0
11020990	0	0	0
11025336	0	1	1
11111662	0	1	0
11183275	1	1	1
11241102	1	0	0
11282853	0	1	1
11298680	1	0	1
11321465	1	1	1
11539131	0	1	1
11541773	0	1	1
11600787	1	1	1
11658206	0	1	1
11669844	0	1	1
11867705	0	1	0
11918471	0	1	0
11924005	0	1	0
11934466	1	1	1
11998404	0	1	1
12074462	1	1	1
12093207	0	1	1
12111678	0	1	1
12121879	0	1	0
12156381	1	1	1
12192147	0	1	0
12252169	0	1	1
12320559	0	1	0
12345462	1	1	1
12411299	0	1	1
12519453	0	1	1
12540369	1	1	1
12695249	0	1	1
12696749	0	1	1
12727600	0	1	1
12874328	1	0	1
12880910	0	1	1
12959719	0	1	1
13071848	0	1	1
13501473	1	1	1
13608390	0	1	1
13718027	1	1	0
13725104	1	1	1
13759477	0	1	1
13821923	1	1	1
13828470	0	1	1
13834823	1	1	1
13835970	1	1	1
13877989	0	1	0
13916668	1	1	1
14063067	1	1	1
14170591	1	1	1
14204994	1	1	1
14323932	1	0	0
14419918	0	1	1
14462062	0	1	1
14520887	1	1	1
14525857	0	1	1
14709757	0	1	1
14770371	1	1	1
14932889	1	1	1
14946162	0	1	1
15020189	1	1	1
15080022	0	0	0
15393363	0	1	1
15677557	0	1	0
15699379	1	1	1
15857358	1	1	1
15922728	1	1	1
16195682	0	1	0
16223563	1	1	0
16225683	0	1	1
16264779	0	1	1
16355650	0	1	0
16370959	0	1	0
16442235	1	1	1
16447954	0	1	1
16486655	0	1	1
16508166	1	1	1
16711157	1	1	1
16804076	1	1	1
16909498	0	1	1
17064182	0	0	0
17094267	0	1	1
17149350	1	1	1
17365126	0	1	0
17588765	1	0	0
17599925	0	1	0
17618449	0	1	1
17716010	0	0	0
17823270	0	1	1
17858494	1	1	0
17984338	1	1	1
17991009	0	1	1
18130464	1	1	1
18154781	1	1	1
18205119	0	1	1
18214535	0	1	1
18329710	0	1	1
18399210	0	1	1
18566688	1	1	1
18767420	0	1	0
18796034	0	1	1
19114015	0	1	0
19192269	0	1	1
19239335	1	1	0
19341372	1	1	1
19361448	1	1	1
19380895	1	1	1
19386186	1	1	1
19579764	0	1	1
19736802	0	1	1
19794221	0	1	1
19869587	1	1	1
19911778	1	1	1
19921095	1	1	0
20053399	1	0	1
20131065	0	1	0
20375709	0	1	1
20407148	0	1	1
20468106	1	1	1
20471903	1	1	1
20707779	1	1	1
20840622	0	1	1
20935112	0	1	0
20977821	0	1	0
21075698	0	1	0
21102749	0	1	0
21185923	0	1	1
21248954	1	0	0
21494862	0	0	0
21500775	1	1	1
