users	contemporaneity	locality	genre
7687	1	1	0
1029562	0	1	0
2168899	0	1	0
2230712	0	0	0
2236709	0	1	0
2271782	0	1	0
2291567	0	1	0
2318327	0	1	0
2399681	0	1	0
2423062	0	1	0
2445992	0	1	0
2465033	0	1	0
2469058	0	1	0
2509909	0	1	0
2549627	1	1	0
2559184	0	1	0
2560844	1	1	0
2615703	0	1	0
2707938	0	1	0
2764146	0	1	0
2790162	0	1	0
2873889	0	1	0
2883653	0	1	0
2906604	0	1	1
2914781	0	1	0
2917828	0	0	0
2948640	0	0	0
2949370	0	1	0
3002379	0	1	0
3116219	1	0	0
3239973	0	1	0
3304912	0	0	0
3423731	0	1	0
3426736	0	1	0
3475627	1	1	0
3478587	1	0	0
3479805	0	1	0
3496153	0	1	0
3496867	0	1	0
3603292	0	1	0
3631969	0	1	0
3680223	0	0	0
3768204	0	1	0
3860200	0	0	0
3868845	0	1	0
3883834	0	1	0
3973347	0	1	0
3996495	0	0	0
4044188	0	1	0
4058623	0	1	0
4228395	0	0	0
4286071	1	1	1
4331750	0	1	0
4378506	0	1	0
4397563	0	0	0
4438599	0	1	0
4447744	0	1	0
4485208	0	1	0
4526305	0	0	0
4737341	0	1	0
4738898	1	0	0
4780586	0	0	0
4787424	0	0	0
4806529	0	1	0
4811209	0	1	1
4848122	1	0	0
4887880	0	1	0
4938859	0	1	0
4979489	0	1	0
5077328	0	1	0
5097178	0	0	0
5103378	0	1	0
5105750	1	1	1
5142790	0	1	0
5166712	0	1	0
5258833	1	0	0
5265341	1	1	0
5277976	1	1	0
5320098	0	0	0
5354281	0	1	0
5408101	0	0	0
5420878	0	1	1
5432528	0	0	0
5460898	0	1	0
5485650	0	0	0
5516497	0	1	0
5517685	0	1	0
5534206	1	1	0
5613455	0	1	0
5637731	0	0	0
5725577	0	1	0
5751246	0	1	0
5781009	0	0	0
5839868	0	1	0
5856926	0	1	0
5897962	1	0	0
5899319	0	1	0
5910721	0	1	0
5923588	0	1	0
5963805	1	1	1
6050492	0	0	0
6110270	0	1	0
6261389	0	1	0
6304123	0	1	0
6325471	0	1	0
6390606	0	1	0
6446517	1	1	0
6452020	0	0	0
6462275	1	1	0
6502736	0	0	0
6546055	0	1	0
6606354	0	1	0
6611089	1	1	0
6638266	1	0	0
6731541	0	0	0
6747065	1	0	0
6917264	0	0	0
6937126	0	0	0
6946347	0	1	0
6964986	0	1	0
6992675	0	1	0
6997702	0	0	0
7014063	1	0	0
7105867	0	1	0
7163356	0	0	0
7210939	0	1	0
7213842	0	1	0
7277276	0	0	0
7299766	0	0	0
7310641	0	1	0
7320444	0	1	0
7379290	0	1	0
7416673	0	0	0
7423336	0	1	0
7439731	0	1	0
7540459	0	1	0
7618980	0	0	0
7720943	0	1	0
7748805	0	1	0
7752871	0	1	0
7763519	0	1	0
7778221	0	1	0
7781890	0	1	0
7829682	1	0	0
7892073	0	0	0
7937229	0	1	0
7964353	0	1	0
7984395	0	1	0
8013433	0	1	0
8035279	0	0	0
8270884	0	1	0
8282774	0	1	0
8316275	0	1	0
8328522	0	1	0
8474083	1	1	1
8606703	1	0	0
8681298	1	1	0
8686821	0	1	0
8718324	0	1	0
8756805	0	1	0
8776227	1	0	0
8983926	0	1	0
9003804	1	1	1
9027470	0	0	0
9035014	1	1	0
9076404	1	1	1
9145886	0	1	0
9194537	1	1	1
9277425	1	0	0
9321010	0	0	0
9321799	0	1	0
9341753	0	1	0
9353376	0	1	0
9454105	0	0	0
9457434	0	0	0
9653129	1	1	1
9653222	0	1	0
9695459	0	1	0
9726776	0	1	0
9868379	0	1	0
9882947	1	1	0
9889487	0	1	0
9911751	1	1	0
9952240	0	1	0
9979755	0	1	0
10084175	0	1	0
10173627	0	1	0
10228161	0	0	0
10326323	0	1	0
10326405	0	1	0
10374121	0	1	0
10402426	1	0	0
10411433	0	1	0
10413419	0	1	0
10424950	0	0	0
10428603	1	1	1
10462198	0	0	0
10637132	0	0	0
10645616	0	0	0
10807443	0	0	0
10923419	0	1	0
10931569	0	1	0
10964154	1	0	0
11020990	1	0	0
11025336	1	0	0
11111662	1	1	0
11183275	0	1	0
11241102	1	1	0
11282853	0	1	0
11298680	1	1	0
11321465	0	0	0
11539131	0	1	0
11541773	0	0	0
11600787	1	0	0
11658206	1	0	0
11669844	0	1	0
11867705	0	0	0
11918471	0	0	0
11924005	0	0	0
11934466	0	1	0
11998404	0	0	0
12074462	0	1	0
12093207	0	1	0
12111678	0	0	0
12121879	0	1	0
12156381	1	0	0
12192147	0	1	0
12252169	0	1	0
12320559	0	0	0
12345462	0	1	0
12411299	0	0	0
12519453	0	1	0
12540369	1	1	0
12695249	0	1	0
12696749	1	1	0
12727600	0	1	0
12874328	1	1	0
12880910	1	1	0
12959719	1	1	0
13071848	0	0	0
13501473	0	1	0
13608390	0	0	0
13718027	1	0	0
13725104	0	0	0
13759477	0	1	0
13821923	0	1	0
13828470	1	0	0
13834823	0	1	0
13835970	0	1	0
13877989	1	1	0
13916668	1	1	0
14063067	0	1	0
14170591	0	1	0
14204994	0	1	0
14323932	1	1	1
14419918	0	1	0
14462062	0	1	0
14520887	0	1	0
14525857	0	0	0
14709757	0	1	0
14770371	0	1	0
14932889	0	1	0
14946162	0	1	0
15020189	0	0	0
15080022	0	1	0
15393363	0	1	0
15677557	1	0	0
15699379	0	1	0
15857358	0	1	0
15922728	0	1	0
16195682	0	1	0
16223563	0	0	0
16225683	0	1	0
16264779	1	1	0
16355650	0	1	0
16370959	1	0	0
16442235	0	1	0
16447954	1	1	0
16486655	0	1	0
16508166	0	0	0
16711157	0	1	0
16804076	0	1	0
16909498	1	0	0
17064182	1	1	1
17094267	0	1	0
17149350	0	1	0
17365126	1	1	1
17588765	0	1	0
17599925	1	0	0
17618449	1	1	0
17716010	1	0	0
17823270	0	1	0
17858494	1	0	0
17984338	1	1	1
17991009	0	1	0
18130464	0	1	0
18154781	0	1	0
18205119	0	1	0
18214535	0	1	0
18329710	0	1	0
18399210	0	1	0
18566688	0	1	0
18767420	0	1	0
18796034	0	1	0
19114015	1	0	0
19192269	0	1	0
19239335	1	0	0
19341372	0	0	0
19361448	1	1	0
19380895	0	1	0
19386186	0	1	0
19579764	0	1	0
19736802	0	1	0
19794221	1	0	0
19869587	1	1	0
19911778	0	1	0
19921095	1	0	0
20053399	0	1	0
20131065	0	0	0
20375709	1	1	0
20407148	0	1	0
20468106	0	1	0
20471903	1	0	0
20707779	0	1	0
20840622	1	1	0
20935112	1	0	0
20977821	1	0	0
21075698	1	0	0
21102749	1	1	1
21185923	0	1	0
21248954	1	1	1
21494862	1	0	0
21500775	0	1	0
21521666	0	1	0
21527082	1	0	0
21634010	1	1	0
21910487	0	1	0
22029337	0	1	0
22306096	0	1	0
22368061	0	1	0
22448231	0	1	0
22468397	1	1	1
22530427	0	1	0
22642943	0	0	0
22999682	0	1	1
23048723	1	1	0
23126175	1	1	1
23144098	0	0	0
23144215	0	1	0
23238082	0	0	0
23265125	1	1	0
23340294	1	1	0
23439531	1	0	0
23516230	1	0	0
23544192	0	1	0
23571541	1	1	1
23638150	1	0	0
23706780	1	1	0
23723313	1	1	1
23790594	0	0	0
23853724	1	0	0
23971399	0	1	0
23981055	0	1	0
24057306	0	0	0
24181301	1	0	0
24606423	0	1	0
24856261	0	0	0
24937311	1	0	0
25085963	0	0	0
25095074	0	1	0
25109025	1	0	0
25127732	1	0	0
25194836	0	0	0
25294472	0	1	0
25365494	1	1	0
25370966	1	0	0
25396880	1	0	0
25611958	0	1	0
25614632	0	1	0
25740009	1	1	1
25747861	0	1	0
25850855	1	1	1
25916236	1	0	0
26265368	1	0	0
26340216	1	0	0
26457274	1	0	0
26506597	1	0	0
26514448	1	1	0
26598360	0	1	0
26617000	1	1	0
26630233	1	1	0
26878692	1	0	0
27284279	1	1	1
27395672	1	1	0
27444420	0	0	0
27457147	0	0	0
27487079	0	1	0
27774412	0	1	0
27774791	0	1	0
27801648	1	1	0
27845116	0	1	0
28053650	0	1	0
28068339	0	0	0
28423415	0	1	0
28426635	1	1	1
28447182	1	0	0
28481565	1	1	1
28498368	1	1	1
28532628	0	1	1
28653390	1	1	1
28744068	1	1	0
28784526	0	1	0
29029044	1	0	0
29104683	1	1	1
29416682	0	0	0
29458478	0	1	0
29471745	0	1	0
29568894	1	1	0
29692019	1	1	0
29716896	1	1	1
29767777	0	1	0
29865264	1	0	1
29908182	1	1	0
29943286	0	1	0
29970410	1	0	0
30001579	0	1	1
30142869	0	1	0
30300851	1	0	0
30311628	0	1	0
30410303	1	0	0
30633218	1	0	0
30639526	1	1	1
30714659	0	1	0
30796555	0	1	0
30903371	0	1	0
30923623	1	0	0
30976870	0	1	1
31148550	1	1	0
31250408	0	1	0
31352772	1	1	0
31431839	1	0	1
31677980	0	1	0
31678226	0	1	0
31682076	0	0	0
31715645	1	1	0
31787079	0	1	0
32000065	1	0	0
32159497	1	0	0
32174726	0	1	0
32238713	1	0	0
32239198	0	1	0
32309103	0	1	0
