timestamps	entropy	aspect
15590	0	contemporaneity
15204	1.79175946922806	contemporaneity
15609	3.09104245335832	contemporaneity
15600	0	contemporaneity
15435	1.38628148565727	contemporaneity
15599	1.79174438032037	contemporaneity
15562	1.38629436111989	contemporaneity
15457	2.30258509299405	contemporaneity
15442	4.00733318523247	contemporaneity
15592	0	contemporaneity
15285	0.693147180559945	contemporaneity
15576	2.07944154167984	contemporaneity
15433	0	contemporaneity
15608	0	contemporaneity
15646	0	contemporaneity
15708	1.38629061845165	contemporaneity
15737	3.3322045101752	contemporaneity
15925	5.18738580584076	contemporaneity
15408	1.6094379124341	contemporaneity
15585	3.13549421592915	contemporaneity
15731	0	contemporaneity
16081	1.60942714150127	contemporaneity
15539	0.693146795155367	contemporaneity
15593	2.56494873248177	contemporaneity
15527	1.38629436111989	contemporaneity
15926	1.38629436111989	contemporaneity
15736	0	contemporaneity
15706	2.484906649788	contemporaneity
15197	4.46590803213072	contemporaneity
15555	2.56494935746154	contemporaneity
15707	4.52178857704904	contemporaneity
15939	3.73766961828337	contemporaneity
16099	0	contemporaneity
15697	2.484906649788	contemporaneity
15730	3.55534806148941	contemporaneity
14986	0	contemporaneity
15148	3.04452243772342	contemporaneity
15601	3.43398581953689	contemporaneity
15008	2.56494935746154	contemporaneity
15769	1.79175946922806	contemporaneity
15444	3.66356164612965	contemporaneity
16083	0	contemporaneity
15352	1.60942648769138	contemporaneity
15386	2.99572347259589	contemporaneity
15700	2.70803936294335	contemporaneity
15701	0.693146037801616	contemporaneity
16131	2.30257943801052	contemporaneity
15563	4.12713438504509	contemporaneity
15716	2.56494935746154	contemporaneity
16014	1.09861228866811	contemporaneity
15989	4.94163748327581	contemporaneity
16082	4.39444683536189	contemporaneity
16084	4.69134547170851	contemporaneity
15032	4.07753490716783	contemporaneity
15333	4.29045674882302	contemporaneity
15129	3.49650524552948	contemporaneity
15305	3.63758253058965	contemporaneity
15304	5.06259503302697	contemporaneity
15009	3.04452243772342	contemporaneity
15402	3.71357206670431	contemporaneity
14996	1.38629436111989	contemporaneity
15677	1.79175946922806	contemporaneity
15177	2.39788519489647	contemporaneity
15176	0.693146775134524	contemporaneity
15237	3.13549421592915	contemporaneity
15476	2.30256704671225	contemporaneity
15343	2.8332020172844	contemporaneity
15477	2.07943352323283	contemporaneity
15390	1.79175621589758	contemporaneity
15474	0	contemporaneity
15478	2.89036388563092	contemporaneity
15472	3.09103343632548	contemporaneity
15475	0.693146037801616	contemporaneity
15374	1.94590105026934	contemporaneity
15649	1.09860849518986	contemporaneity
15479	1.09860813205942	contemporaneity
15751	1.38629436111989	contemporaneity
15389	2.07944154167984	contemporaneity
15809	0	contemporaneity
15773	2.39789527279837	contemporaneity
15752	2.39788325309155	contemporaneity
15023	4.00733318523247	contemporaneity
15355	5.40717177146012	contemporaneity
15354	1.38629436111989	contemporaneity
16111	1.79175946922806	contemporaneity
15484	2.89037175789616	contemporaneity
16013	1.09858869338799	contemporaneity
15772	0	contemporaneity
15485	1.09861228866811	contemporaneity
16072	0	contemporaneity
15718	0.693134308942226	contemporaneity
15480	1.94587974112211	contemporaneity
16012	0.693112272302867	contemporaneity
15424	1.09860504022028	contemporaneity
16119	0	contemporaneity
16008	0.693147180559945	contemporaneity
16005	0	contemporaneity
15411	0.693147180559945	contemporaneity
14985	0	contemporaneity
15468	0	contemporaneity
15429	1.38629436111989	contemporaneity
15335	1.09860504022028	contemporaneity
15473	0.693147180559945	contemporaneity
15430	3.09103972195164	contemporaneity
15106	1.09861228866811	contemporaneity
16104	0	contemporaneity
16103	2.70804089367621	contemporaneity
15760	0.693147180559945	contemporaneity
15052	1.6094379124341	contemporaneity
15024	0	contemporaneity
15051	1.6094379124341	contemporaneity
15025	2.19719859207853	contemporaneity
15695	0.693147180559945	contemporaneity
15061	1.38627111907816	contemporaneity
16117	0	contemporaneity
15046	0	contemporaneity
15569	0	contemporaneity
16105	1.38629318467481	contemporaneity
15412	2.19722457733622	contemporaneity
15779	2.56494498166243	contemporaneity
15729	1.94591014905531	contemporaneity
15652	0.693147180559945	contemporaneity
15774	0	contemporaneity
15341	1.6094379124341	contemporaneity
15842	0.693147180559945	contemporaneity
14985	0	locality
14986	1.79175946922806	locality
14996	3.09104245335832	locality
15008	0	locality
15009	1.30298679413612	locality
15023	1.73507782621552	locality
15024	1.38629436111989	locality
15025	2.30258509299405	locality
15032	4.00733318523247	locality
15046	0	locality
15051	0.693147180559945	locality
15052	2.07944154167984	locality
15061	0	locality
15106	0	locality
15129	0	locality
15148	1.28829998689373	locality
15176	3.3322045101752	locality
15177	5.18738580584076	locality
15197	1.60943546508663	locality
15204	3.13549421592915	locality
15237	0	locality
15285	1.55315426316509	locality
15304	0.535267972800481	locality
15305	2.47121059077201	locality
15333	1.38629436111989	locality
15335	1.38629436111989	locality
15341	0	locality
15343	2.484906649788	locality
15352	4.45127645086173	locality
15354	2.56494935746154	locality
15355	4.52178857704904	locality
15374	3.73766961828337	locality
15386	0	locality
15389	2.484906649788	locality
15390	3.55534806148941	locality
15402	0	locality
15408	3.04452243772342	locality
15411	3.43398720448515	locality
15412	2.56494935746154	locality
15424	1.79175946922806	locality
15429	3.66356164612965	locality
15430	0	locality
15433	1.60943546803125	locality
15435	2.99572995716072	locality
15442	2.70804775669936	locality
15444	0.693147180559945	locality
15457	2.30258346535124	locality
15468	4.12713438504509	locality
15472	2.56494935746154	locality
15473	1.09861228866811	locality
15474	4.94164242260931	locality
15475	4.39444915467244	locality
15476	4.69134788222914	locality
15477	4.07753744390572	locality
15478	4.29045944114839	locality
15479	3.49650756146648	locality
15480	3.63758615972639	locality
15484	5.06259503302697	locality
15485	3.04452243772342	locality
15527	3.71357206670431	locality
15539	1.38629436111989	locality
15555	1.79175946922806	locality
15562	2.39789325417679	locality
15563	0.693144632774099	locality
15569	3.13549421592915	locality
15576	2.26079533719093	locality
15585	2.80994688550066	locality
15590	2.07943963371241	locality
15592	1.79175805662678	locality
15593	0	locality
15599	2.89036999940512	locality
15600	3.09104024488728	locality
15601	0.693147180559945	locality
15608	1.94590807191	locality
15609	1.09861228866811	locality
15646	1.04459534889929	locality
15649	1.38629436111989	locality
15652	2.07944154167984	locality
15677	0	locality
15695	2.39789527279837	locality
15697	2.38202953003818	locality
15700	4.00733318523247	locality
15701	5.40717177146012	locality
15706	1.38629436111989	locality
15707	1.79175946922806	locality
15708	2.89037175789616	locality
15716	1.09861002623974	locality
15718	0	locality
15729	1.09861228866811	locality
15730	0	locality
15731	0.693144632774099	locality
15736	1.87092812580022	locality
15737	0.622001454748164	locality
15751	1.09861228866811	locality
15752	0	locality
15760	0.693147180559945	locality
15769	0	locality
15772	0.693147180559945	locality
15773	0	locality
15774	0	locality
15779	1.38629436111989	locality
15809	1.09861228866811	locality
15842	0.693147180559945	locality
15925	3.09104245335832	locality
15926	1.09861228866811	locality
15939	0	locality
15989	2.67843516721578	locality
16005	0.693147180559945	locality
16008	1.6094379124341	locality
16012	0	locality
16013	1.6094379124341	locality
16014	2.13030426698921	locality
16072	0.693147180559945	locality
16081	0.344917089656774	locality
16082	0	locality
16083	0	locality
16084	0	locality
16099	1.31611864302653	locality
16103	2.19722457733622	locality
16104	2.56494935746154	locality
16105	1.94591014905531	locality
16111	0.693147180559945	locality
16117	0	locality
16119	1.6094379124341	locality
16131	0.693147180559945	locality
14985	0.693147180559945	genre
14986	0	genre
14996	1.09861228866811	genre
15008	1.09861228866811	genre
15009	2.27186851269656	genre
15023	2.27897524012461	genre
15024	1.6094379124341	genre
15025	1.6094379124341	genre
15032	1.38629436111989	genre
15046	1.6094379124341	genre
15051	1.6094379124341	genre
15052	1.6094379124341	genre
15061	1.6094379124341	genre
15106	0.693147180559945	genre
15129	1.09861228866811	genre
15148	2.01981499249295	genre
15176	0.693147180559945	genre
15177	0.693147180559945	genre
15197	1.92691450526411	genre
15204	0.693147180559945	genre
15237	1.09861228866811	genre
15285	2.89037175789616	genre
15304	1.38629436111989	genre
15305	1.51260568385204	genre
15333	1.38629436111989	genre
15335	0.693147180559945	genre
15341	0.693147180559945	genre
15343	1.09861228866811	genre
15352	1.18200250974047	genre
15354	1.6094379124341	genre
15355	1.6094379124341	genre
15374	1.09861228866811	genre
15386	1.09861228866811	genre
15389	1.09861228866811	genre
15390	1.09861228866811	genre
15402	0	genre
15408	1.38629436111989	genre
15411	1.04228868925694	genre
15412	0.693147180559945	genre
15424	0.693147180559945	genre
15429	0.693147180559945	genre
15430	0.693147180559945	genre
15433	2.30348849521927	genre
15435	2.49299205843384	genre
15442	2.52321095295289	genre
15444	1.79175946922806	genre
15457	1.9173495229802	genre
15468	0.693147180559945	genre
15472	1.09861228866811	genre
15473	0.693147180559945	genre
15474	1.43445638997098	genre
15475	1.67273435382759	genre
15476	1.68267097260318	genre
15477	1.68142279354389	genre
15478	1.69630132494964	genre
15479	1.64765185600623	genre
15480	1.3355692016362	genre
15484	0.693147180559945	genre
15485	0.693147180559945	genre
15527	1.38629436111989	genre
15539	1.38629436111989	genre
15555	1.38629436111989	genre
15562	2.90838268099138	genre
15563	2.07944154167984	genre
15569	0.693147180559945	genre
15576	3.00083031704146	genre
15585	2.99419540066805	genre
15590	2.92068702689364	genre
15592	2.73633905110507	genre
15593	1.38629436111989	genre
15599	2.9544083699709	genre
15600	2.92044088011952	genre
15601	1.79175946922806	genre
15608	2.96501569325651	genre
15609	1.74786809746676	genre
15646	1.90615474653985	genre
15649	1.09861228866811	genre
15652	0.693147180559945	genre
15677	0	genre
15695	1.6094379124341	genre
15697	2.775311426439	genre
15700	1.09861228866811	genre
15701	1.09861228866811	genre
15706	1.38629436111989	genre
15707	1.38629436111989	genre
15708	1.38629436111989	genre
15716	1.5498260458782	genre
15718	0.693147180559945	genre
15729	0.693147180559945	genre
15730	0.693147180559945	genre
15731	1.74786809746676	genre
15736	1.89451418482893	genre
15737	1.79175946922806	genre
15751	1.47507631105469	genre
15752	1.09861228866811	genre
15760	1.6094379124341	genre
15769	1.09861228866811	genre
15772	0.693147180559945	genre
15773	1.09861228866811	genre
15774	0.693147180559945	genre
15779	0.693147180559945	genre
15809	1.47507631105469	genre
15842	0.693147180559945	genre
15925	1.71121177515666	genre
15926	1.38629436111989	genre
15939	1.38629436111989	genre
15989	1.05032251967136	genre
16005	0.693147180559945	genre
16008	0.693147180559945	genre
16012	0.693147180559945	genre
16013	0.693147180559945	genre
16014	1.42565101504729	genre
16072	0.693147180559945	genre
16081	1.88915916375402	genre
16082	1.09861228866811	genre
16083	1.09861228866811	genre
16084	1.09861228866811	genre
16099	1.95872714187713	genre
16103	1.6094379124341	genre
16104	1.92658218959746	genre
16105	0.693147180559945	genre
16111	0.693147180559945	genre
16117	1.6094379124341	genre
16119	0.693147180559945	genre
16131	1.38629436111989	genre
