"userid","div.contemporaneity","div.locality","div.genre"
7687,1,1,1
1029562,1,0,1
2168899,1,1,1
2230712,1,0,1
2236709,1,0,1
2271782,1,0,1
2291567,1,1,1
2318327,1,0,1
2399681,1,1,1
2423062,1,0,1
2445992,1,0,1
2465033,1,1,1
2469058,1,0,1
2509909,1,0,1
2549627,1,1,1
2559184,1,0,0
2560844,1,1,1
2615703,1,0,1
2707938,1,1,1
2764146,1,0,1
2790162,1,0,1
2873889,1,0,1
2883653,1,1,1
2906604,1,0,1
2914781,1,0,0
2917828,1,1,1
2948640,1,1,1
2949370,1,0,1
3002379,1,0,1
3116219,1,0,1
3239973,1,1,0
3304912,1,0,0
3423731,1,1,1
3426736,1,0,1
3475627,1,1,1
3478587,1,1,1
3479805,1,0,1
3496153,1,0,1
3496867,1,1,1
3603292,1,0,1
3631969,1,0,1
3680223,1,0,0
3768204,1,0,1
3860200,1,1,1
3868845,1,0,1
3883834,1,0,1
3973347,0,1,1
3996495,1,0,1
4044188,1,1,1
4058623,1,1,1
4228395,1,0,1
4286071,1,0,0
4331750,1,0,1
4378506,1,0,1
4397563,1,1,1
4438599,1,0,0
4447744,1,1,1
4485208,1,0,1
4526305,0,1,1
4737341,1,0,1
4738898,0,1,1
4780586,1,1,1
4787424,0,0,1
4806529,1,0,1
4811209,1,1,1
4848122,0,1,0
4887880,0,1,1
4938859,0,0,1
4979489,1,0,1
5077328,1,0,1
5097178,1,0,1
5103378,1,0,1
5105750,1,1,1
5142790,1,0,1
5166712,1,1,1
5258833,0,0,1
5265341,1,0,1
5277976,1,1,1
5320098,1,0,1
5354281,1,0,1
5408101,1,1,1
5420878,1,0,0
5432528,1,1,1
5460898,1,1,1
5485650,1,1,1
5516497,1,1,1
5517685,1,1,1
5534206,1,1,1
5613455,1,1,1
5637731,1,1,1
5725577,1,0,1
5751246,1,0,1
5781009,1,1,1
5839868,1,0,1
5856926,1,0,1
5897962,0,1,1
5899319,1,0,1
5910721,1,1,1
5923588,1,0,1
5963805,1,0,1
6050492,1,1,1
6110270,1,0,1
6261389,1,0,1
6304123,1,0,1
6325471,1,0,1
6390606,1,0,1
6446517,1,1,1
6452020,1,1,1
6462275,1,1,1
6502736,1,1,1
6546055,1,1,1
6606354,1,1,1
6611089,1,0,0
6638266,1,1,1
6731541,1,1,1
6747065,1,1,0
6917264,0,0,1
6937126,1,1,1
6946347,1,1,1
6964986,1,0,1
6992675,1,1,1
6997702,1,1,1
7014063,0,1,1
7105867,1,0,1
7163356,1,0,1
7210939,1,0,1
7213842,1,0,1
7277276,1,1,1
7299766,1,0,1
7310641,1,1,1
7320444,1,1,1
7379290,1,0,1
7416673,1,1,0
7423336,0,0,1
7439731,1,0,1
7540459,1,0,1
7618980,1,0,1
7720943,1,0,1
7748805,1,0,1
7752871,0,0,1
7763519,1,1,1
7778221,1,0,1
7781890,1,0,1
7829682,0,0,1
7892073,1,1,1
7937229,1,0,1
7964353,1,0,1
7984395,1,1,1
8013433,1,1,1
8035279,1,1,1
8270884,1,0,1
8282774,1,0,1
8316275,1,0,0
8328522,1,0,1
8474083,1,0,0
8606703,0,1,1
8681298,1,0,0
8686821,1,1,1
8718324,1,1,1
8756805,1,1,1
8776227,0,0,0
8983926,1,0,1
9003804,1,0,1
9027470,1,0,1
9035014,1,1,1
9076404,1,1,0
9145886,0,0,1
9194537,1,0,0
9277425,0,1,0
9321010,1,0,1
9321799,1,0,1
9341753,1,0,1
9353376,1,0,0
9454105,1,1,1
9457434,1,1,1
9653129,0,0,0
9653222,1,0,1
9695459,1,1,1
9726776,0,0,0
9868379,0,0,1
9882947,1,1,0
9889487,1,1,1
9911751,1,1,1
9952240,1,0,1
9979755,1,0,1
10084175,1,0,0
10173627,1,1,1
10228161,1,0,1
10326323,1,0,1
10326405,1,1,1
10374121,1,1,1
10402426,1,0,1
10411433,1,0,1
10413419,1,0,1
10424950,1,0,1
10428603,0,1,1
10462198,1,1,1
10637132,1,1,1
10645616,1,0,1
10807443,1,1,1
10923419,1,1,1
10931569,1,0,1
10964154,1,1,1
11020990,0,1,0
11025336,0,1,1
11111662,1,1,0
11183275,1,0,1
11241102,1,1,1
11282853,1,1,1
11298680,1,1,0
11321465,1,1,1
11539131,1,1,1
11541773,1,0,1
11600787,0,0,0
11658206,1,0,0
11669844,1,1,1
11867705,1,0,0
11918471,1,1,1
11924005,1,1,1
11934466,1,0,1
11998404,1,0,1
12074462,1,0,1
12093207,1,0,1
12111678,1,0,1
12121879,1,1,1
12156381,0,1,1
12192147,1,1,1
12252169,1,0,1
12320559,1,1,1
12345462,1,0,1
12411299,1,1,1
12519453,1,0,1
12540369,1,1,1
12695249,1,1,1
12696749,1,1,1
12727600,1,0,1
12874328,1,1,1
12880910,1,0,1
12959719,1,1,1
13071848,1,0,1
13501473,1,0,1
13608390,1,1,1
13718027,0,1,1
13725104,1,1,1
13759477,1,0,1
13821923,1,0,1
13828470,0,0,0
13834823,1,1,1
13835970,1,0,1
13877989,1,0,0
13916668,1,1,0
14063067,1,0,1
14170591,1,0,0
14204994,1,1,1
14323932,0,0,0
14419918,1,0,1
14462062,1,0,1
14520887,1,0,1
14525857,1,1,1
14709757,1,1,1
14770371,1,0,1
14932889,1,0,1
14946162,1,0,1
15020189,1,1,1
15080022,1,0,0
15393363,1,0,1
15677557,1,1,0
15699379,1,0,1
15857358,1,0,1
15922728,1,0,1
16195682,1,0,1
16223563,1,1,1
16225683,1,0,1
16264779,1,1,0
16355650,1,0,1
16370959,0,1,1
16442235,1,0,1
16447954,1,0,0
16486655,1,1,1
16508166,1,1,1
16711157,1,0,1
16804076,1,0,1
16909498,1,1,1
17064182,1,0,1
17094267,1,1,1
17149350,1,1,1
17365126,1,1,0
17588765,1,1,1
17599925,0,1,1
17618449,1,1,1
17716010,0,0,0
17823270,1,1,1
17858494,0,1,0
17984338,1,1,1
17991009,1,1,1
18130464,1,1,1
18154781,0,0,1
18205119,1,0,1
18214535,1,0,1
18329710,1,1,1
18399210,1,0,1
18566688,1,0,1
18767420,1,0,0
18796034,1,1,1
19114015,1,1,0
19192269,1,0,0
19239335,0,1,1
